Username,Bet_mean,Bet_std,Bet_sum,Bet_count,CashedOut_mean,CashedOut_std,Profit_mean,Profit_sum,BustedAt_mean,Bonus_mean,Bonus_sum,risk_tolerance,win_rate,Cluster,PlayerType
Aerozzz,100.0,5220.477516005981,100.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.26,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
Aeschylus,650.0,626.4982043070834,1950.0,3.0,1.18,0.12124355652982136,169.78,509.34000000000003,11.270000000000001,1.1166666666666667,3.35,0.10274877672018759,0.26120000000000004,1,Conservative players
AfterHours,18450.0,16334.166645409248,36900.0,2.0,1.3250000000000002,0.3181980515339464,9008.805,18017.61,2.915,1.38,2.76,0.2401494728558086,0.48828211382113823,1,Conservative players
Agent_Pupus,5.0,5.291502622129181,15.0,3.0,1.2033333333333334,1.0602043828117922,5.98,11.96,16.466666666666665,2.5,5.0,0.8810562738048134,0.7973333333333333,1,Conservative players
Aikas,180.78571428571428,541.5613011074026,2531.0,14.0,0.9928571428571429,0.2946034772218563,8.393076923076922,109.11,3.9678571428571425,0.6507692307692309,8.46,0.29672292669827255,0.043109442907941525,1,Conservative players
Ainur999,52.75,34.325646388669796,211.0,4.0,2.325,3.299873734958153,182.92999999999998,365.85999999999996,6.5925,1.92,3.84,1.4193005311647968,1.7339336492890993,1,Conservative players
Ajay,4.0,5220.477516005981,4.0,1.0,1.15,0.9979762599360468,0.6,0.6,2.02,0.0,0.0,1.0595065232282992,0.15,1,Conservative players
Ajjaj,30000.0,5220.477516005981,30000.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.35,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
Ajzfern,29.0,5220.477516005981,29.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.73,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
Akeno,551.4285714285714,1381.9746025878344,7720.0,14.0,0.9514285714285714,0.7984201433297666,93.22777777777777,839.05,3.27,1.4333333333333333,12.9,0.8391803308270821,0.10868523316062176,1,Conservative players
AksDe97,160.0,5220.477516005981,160.0,1.0,2.1,0.9979762599360468,178.72,178.72,13.76,1.7,1.7,1.0595065232282992,1.117,1,Conservative players
AlPo,13.25,32.609128524968206,265.0,20.0,0.9475,0.4298331989823127,3.844705882352941,65.36,4.2045,1.0294117647058822,17.5,0.4536498142293538,0.24664150943396226,1,Conservative players
Alalay_ng_Panday,3500.0,5220.477516005981,3500.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.61,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
Albert1985,17.983606557377048,47.970995335125394,1097.0,61.0,0.8524590163934426,0.9972640167606986,13.036153846153846,338.94,3.6234426229508196,2.644230769230769,68.75,1.1698674042769734,0.30896991795806744,0,Risk-takers
AlbiAlbo,20.0,5220.477516005981,20.0,1.0,1.05,0.9979762599360468,1.0,1.0,1.21,0.0,0.0,1.0595065232282992,0.05,1,Conservative players
Aleks-rdx,587.1666666666666,1240.386619835391,3523.0,6.0,0.0,0.0,2939.6622407368804,0.0,1.9666666666666668,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
Aleks1976,15.5,20.506096654409877,31.0,2.0,0.75,1.0606601717798212,15.0,15.0,4.205,0.0,0.0,1.414213562373095,0.4838709677419355,1,Conservative players
Aleks8,59.0,5220.477516005981,59.0,1.0,1.1,0.9979762599360468,7.27,7.27,3.52,2.32,2.32,1.0595065232282992,0.12322033898305083,1,Conservative players
Alekss1,11.125,10.843584893075414,178.0,16.0,1.20625,4.825,146.62,146.62,4.58875,2.75,2.75,4.0,0.8237078651685393,1,Conservative players
Alekss11,14.222222222222221,25.60458496523289,256.0,18.0,0.0,0.0,2939.6622407368804,0.0,2.3166666666666664,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
Alerithe,7.0,2.8284271247461903,14.0,2.0,1.1600000000000001,0.056568542494923615,1.2,2.4,11.635,0.0,0.0,0.0487659849094169,0.17142857142857143,1,Conservative players
Alex2016,6933.058823529412,24052.551017175363,117862.0,17.0,0.718235294117647,0.745421317897785,203.51666666666668,1831.65,5.529999999999999,1.6166666666666667,14.55,1.037851138760225,0.015540632264852116,1,Conservative players
Alex8690,400.0,5220.477516005981,400.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.05,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
AlexBred,10.0,0.0,30.0,3.0,1.7366666666666666,0.005773502691896231,7.66,22.98,2.3800000000000003,2.9333333333333336,8.8,0.0033244737189421676,0.766,1,Conservative players
AlexK08,1.3333333333333333,0.5773502691896257,4.0,3.0,0.0,0.0,2939.6622407368804,0.0,1.0233333333333334,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
AlexLor2016,2.0,5220.477516005981,2.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.24,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
AlexanderL2552,1691.7391304347825,4339.508510266102,38910.0,23.0,1.0299999999999998,1.7017210539493672,3189.0855555555554,28701.77,7.833043478260869,2.145555555555555,19.31,1.6521563630576384,0.737645078386019,1,Conservative players
Alexy,259926.25531914894,367176.9920398222,12216534.0,47.0,0.556595744680851,0.6179111959403674,110050.65863636363,2421114.4899999998,7.051489361702127,0.7436363636363637,16.36,1.110161552339345,0.19818342010917334,2,Balanced players
AliasDk,1.0,5220.477516005981,1.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.34,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
Alice68,1171.5,4521.167265339392,21087.0,18.0,1.0,1.970368732287556,232.83749999999998,931.3499999999999,35.02388888888889,2.8625000000000003,11.450000000000001,1.970368732287556,0.044167022336036414,1,Conservative players
AlienTvPL,1.3333333333333333,1.0,12.0,9.0,1.1866666666666665,0.17,0.30888888888888894,2.7800000000000002,19.16222222222222,1.2222222222222223,11.0,0.14325842696629215,0.2316666666666667,1,Conservative players
Alight,5000.0,5220.477516005981,5000.0,1.0,0.0,0.9979762599360468,2939.6622407368804,0.0,1.22,1.5240060246409386,0.0,1.0595065232282992,0.0,1,Conservative players
Alisher,43.0,58.89821729050889,129.0,3.0,0.8066666666666666,0.7043673284113434,10.084999999999999,20.169999999999998,2.9166666666666665,2.005,4.01,0.8731826385264588,0.1563565891472868,1,Conservative players
Allex_Fast,6.333333333333333,1.5275252316519468,19.0,3.0,0.7333333333333334,0.6350852961085883,0.795,1.59,1.9333333333333333,1.585,3.17,0.8660254037844386,0.08368421052631579,1,Conservative players
Almero92,665.0,615.1828996322963,1330.0,2.0,1.1099999999999999,0.056568542494923775,55.75,111.5,3.705,0.0,0.0,0.05096265089632773,0.08383458646616541,1,Conservative players
Alvein,1010.0,985.0380703302792,3030.0,3.0,0.86,0.7448489779814429,469.5,939.0,6.013333333333333,2.725,5.45,0.8661034627691196,0.3099009900990099,1,Conservative players
Alyschu,800.0,0.0,2400.0,3.0,0.9666666666666667,0.8371578903249572,379.48,758.96,1.7566666666666666,2.435,4.87,0.8660254037844385,0.31623333333333337,1,Conservative players
AmericanNinja,221.0909090909091,671.4599522923669,4864.0,22.0,1.5736363636363635,3.0775447007771284,495.39250000000004,3963.1400000000003,7.181818181818182,3.0862499999999997,24.689999999999998,1.9556898733996773,0.8147902960526316,1,Conservative players
Amiri220,13.311111111111112,24.053612611215744,1198.0,90.0,0.8453333333333333,0.9944149654925282,14.728947368421052,559.6999999999999,8.884777777777778,2.054736842105263,78.08,1.1763583976646628,0.46719532554257087,0,Risk-takers
